NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
PAUCODINE TABLETS|CIMETIDINE 400MG|MAXHEAL PHARM (INDIA) 103,TULSI NIWAS JOGESHWARI (WEST) MUMBAI,INDIA|04-6018
PIZAVIT SYRUP|VIT B1  10MG, VIT B2  0.5MG, VIT  B6  1MG  NICOTINAMIDE  10MG|ALINA COMBINE PAKISTAN PVT A 127 S.I.T.E SUPER HIGHWAY PAKISTAN|04-6047
SAROVID TABLETS|OFLOXACIN 200MG|CHIN TENG PHARM INUSTRIAL CO LTD NO 9 KUNG 9TH RD. TA CHIA CHEN TAIWAN R.O.C|04-6035
SHOLL'S GRIPE WATER|SODIUM BICARBONATE 0.05MG/5ML|MARVI PHARMACEUTICALS LT PLOT NO N70 SECTOR 24,KORANGI INDL AREAM,KARACHI,PAKISTAN|04-6056
SHREE B COMPLEX INJECTION|VIT B1  10MG VIT B2  2MG VIT B6  100MG|SHREECHEM PHARM PVT LTD PLOT NO R-914/915 TTC INDUSTRIAL AREA RABALE NAVI MUMBAI,INDIA|04-6036
SHREEQUINE INJECTION|CHLOROQUINE PHOSPHATE 64.5MG/ML|SHREECHEM PHARM PVT LTD PLOT NO R-914/915 TTC INDUSTRIAL AREA RABALE NAVI MUMBAI,INDIA|04-6038
SLADICIN INJECTION|GENTAMYCIN SULPHATE 80MG/2ML|JINLING PHARM (GROUP) CORP ZHEJIANG TIANFENG PHARM NO 11,CHEZHAN RD. HOZHOU CITY CHEJIANG,CHINA|04-6050
TINIVARD 500 TABLETS|TINIDAZOLE 500MG|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6032
TRIAMCINOLONE INJECTION|TRIAMCINOLONE ACETONIDE 40MG/ML|EFFECHEM S.R.L,MILANO ITLAY|04-6048
VALQUINE INJECTION|CHLOROQUINE PHOSPHATE  322MG/5ML|GREENFIELD PHARM (TAIZHOU) CO LTD NO 38,TAI JIU RD. TAI ZHOU JIANGSU PROVINCE,P.R. CHINA|04-6035
VARDMOX CAPSULES|AMOXYCILLIN 500MG|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6055
VARDMOX SUSPENSION|AMOXICILLIN 125MG/5ML|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6029
ZUNACLOX INJECTION|AMPICILLIN 250MG CLOXACILLIN 250MG|ALPHA LAB LTD 33/2 AB RD. PIDGAMBER-453446,INDIA|04-6023
CHYMOVARD TABLETS|TRYPSIN/CHYMOTRYPSIN (6:1) 50,000 UNITS|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6043
SPIRONOLACTONE TABLETS|SPIRONOLACTONE 100MG|ALPHARMA BARNSTAPLE EX 328 NS,UK|04-6016
PASTRIM TABLETS|SULPHAMETHOXAZOLE 400MG TRIMETHOPRIM 80MG|UNIBOS LAB LTD VILI VEOOR PALGHAR THANE INDIA|04-6030
PENIFORT INJECTION|PROCAINE PENICILLIN 3MEGA UNITS  BENZYLPENICILLIN SODIUM 1MEGA UNIT|VYSALI PHARM LTD 639 EDATHALA, COCIN-683 561,INDIA|04-6028
NOLICIN TABLETS (POM)|GRISEOFULVIN 500MG|GREENFIELD PHARM CO.LTD. 38, TAIJIU ROAD, TAIZHOU JIANGSU ,CHINA. 
 (FORMERLY SHANGHAI PHARM & CHEM CO LTD 9,YANAN RD. (E) SHANGHAI P.R CHINA)|04-6039
KENOXIL CAPSULES(FORMERLY BAROMOX CAPSULES)|AMOXYCILLIN 500MG|SWISS PHARMA PVT. LTD. 3709, GIDC, PHASE IV, VATVA, AHMEDABAD, INDIA
FORMERLY FROM UNIBIOS
LTD. INDIA.
CHANGE OF SOURCE APP ON 9/27/07|04-6040
BENZHEXOL 5 TABLETS|TRIHEXYPHENIDYL 5MG|REMEDICA LTD LIMASSOL IND ESTATE AHARNON STREET CYPRUS|04-6088
BENZYLPENICILLIN INJECTION|BENZYLPENICILLIN POTASSIUM  600MG|SHANX NORTH YANGHA PHARMA FACTORY LTD 480 NANNEIHUAN STREET TAIYUAN SHANXI CHINA|04-6068
CEROXIM ORAL SUSPENSION|CEFUROXIME AXETIL 125MG/5ML|RANBAXY LAB LTD INDUSTRIAL AREA 3 DEWAS 455001,INDIA|04-6077
CIPROFLOX TABLETS  250 (RENEWAL)|CIPROFLOXACIN 250MG|INDONESIA PHARM INDUSTRIES JL INDUSTRI NO 7 JAKARTA,10720 INDONESIA|04-0806
COMAX SUSPENSION|SULPHAMETHOXAZOLE 200MG/5ML TRIMETHOPRIM 40MG/5ML|MARVI PHARMACEUTICALS LTD PLOT NO N70 SECTOR 24,KORANGI INDL AREAM,KARACHI,PAKISTAN|04-6066
DARAVIT TABLETS|MULTIVITAMIN/MINERALS|ELDER PHARMACEUTICALS LTD PLOT NO C-9 DELIA IND ESTATE MUMBAI INDIA|04-6084
DOLACYCLINE CAPSULES|TETRACYCLINE 250MG|UNIBOS LAB LTD PLOT C 213/4 5 NO 47/2 DEWAN SANI ESTATE VILLAGE VEOOR MANOR RD. TALUKA,DISTRICT INDIA|04-6090
ENERGIN TABLETS  (RENEWAL)|D-GLUCOSE 3.5G|V.S INTERNATIONAL PVT LTD 237,SADAR GRIHA,198 L.T. MARG MUMBAI,INDIA|04-1445
FALCYNATE 50 TABLETS|ARTESUNATE 50MG|SKYMAX LABORATORIES PVT LTD G-445/46 LODHIKA GIDC MATODA 360035,INDIA|04-6071
GASEC CAPSULES|OMEPRAZOLE 20MG|LASBEFAL LAB ALMIRO S.A LAGEDO SANTIAGO DE BESTEIROS 3465 CAMPOS DE BESTEIROS,PORTUGAL|04-6067
GEEMOL TABLETS|PARACETAMOL 125MG|ZIM LAB LTD INDIA B 21/23 MIDC AREA KALMESHWAR 441501,DIST NAGPUR MAHARASHTRA,INDIA|04-6094
GEOPRED-5 TABLETS|PREDNISOLONE 5MG|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6064
HYOMIDE TABLETS|HYOSCINE N-BUTYLBROMIDE 10MG|UPHA PHARM MANUFACTURING SDN BHD LOT 2 & 4 JALAN P/7 SEKSYEN 13 KAWASAN PERSAHAAN BANGI,43650,BANDAR BANI BANGI SELANGOR,D.E MALAYSIA|04-5940 (ADMIN APP)
INTACAM INJECTION|PIROXICAM 20MG|VITAL HEALTHCARE PVT LTD PLOT NO H-10 SATPUR MIDC NASHIK 422007,INDIA|04-6065
LEVITRA TABLETS|VARDENAFIL MONOHYDROCHLORIDE 5MG|BAYER AG D-51368,LEVERKUSSEN,GERMANY|04-6095
LOCIN INJECTION|HYOSCINE BUTYLBROMIDE 10MG|GREENFIELD PHARM CO LTD JIANGSU PROVINCE P.R CHINA|04-6091
MEXAZOL 480 TABLETS|SULPHAMETHOXAZOLE 400MG TRIMETOPRIM 80MG|MISSIONS PHARM LTD AGRA BOMBAY RD RAU,DIST. INDORE MADHYA PRADESH 453446,INDIA|04-6083
MONOTARD HM INSULIN HUMAN,BIOSYNTHETIC SUSPENSION.INJECTABLE S.C 100IU/ML|HUMAN INSULIN(RDNA) AMORPHOUS 34IU,HUMAN INSULIN(RDNA) CRYSTALLINE 66IU,NACL 7MG,SODIUM ACETATE 1.4MG ETC|NOVO NORDISK A/S 2880,BAGSAERD DENMARK|04-1599
MULTIFEN TABLETS|IBUPROFEN 200MG|MAXHEAL PHARM (INDIA) 103,TULSI NIWAS JOGESHWARI (WEST) MUMBAI,INDIA|04-6075
NORFLOTIN 400 TABLETS|NORFLOXACIN 400MG|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI INDIA|04-6062
OGAFEN TABLETS|IBUPROFEN 200MG|MILAN LAB (INDIA) PLOT NO 63/67 JCIE LTD KAMOTHE PANVEL,INDIA|04-6080
PAMACLOX INJECTION|AMPICILLIN 250MG  CLOXACILLIN 250MG|MAXHEAL PHARM (INDIA) 103,TULSI NIWAS JOGESHWARI (WEST) MUMBAI,INDIA|04-6079
PETONE TABLETS|CHLORPHENIRAMINE MALEATE 4MG|VARDHMAN EXPORTS A 188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6086
RIFATER JUNIOR POWDER|RIFAMOICIN 60MG ISONIAZID 30MG PYRAZINAMIDE 150MG|AVENTIS PHARMA PTY/LTD (EDMS) BPK 2 BOND STREET 2 MIDRAND 1685 SOUTH AFRICA|04-6082
RIFINAH JUNIOR 60/30  POWDER|RIFAMPICIN 60MG ISONIAZID 30MG ASPARTAME 20MG|AVENTIS PHARMA PTY/LTD (EDMS) BPK 2 BOND STREET 2 MIDRAND 1685 SOUTH AFRICA|04-6081
SANTECXIN TABLETS|DIHYDROARTEMISININ 60MG|ZHONGNUO PHARM (SHIJIA ZHUANY) CO LTD 6,HUAXING RD,ZHONGHUA SOUTH STREET,CHINA|04-6076
VARDKITORAL TABLETS|KETOCONAZOLE 200MG|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRME, NAVI MUMBAI,INDIA|04-6073
VARDORANGE SYRUP|CYANOCOBALAMIN 7.5MCG FOLIC ACID|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6063
VARDSTIN TABLETS|NYSTATIN 500,000 IU|VARDHMAN EXPORTS A-188 TTC MIDC KHAIRHANE NAVI MUMBAI,INDIA|04-6074
VIAGRA TABLETS (RENEWAL)|SILDENAFIL 50MG|PIFZER AMBOISE FRANCE|04-1509 (PK SZ EXTN)
DARKTARIN CREAM (RENEWAL)|MICONAZOLE NITRATE 20MG/G|JANSSEN PHARM N.V TURNHOUTSEWEG 30-B-2340 BEERSE BELGIUM|04-1589
HALOXEN 5 TABLETS|HALOPERIDOL 5MG|REMEDICA LTD LIMASSOL IND ESTATE AHARNON STREET CYPRUS|04-6078
KLACID 500 TABLETS|CLARITHROMYCIN 500MG|ABBOT LABORATORIES LTD QUEENSBOROUG,KENT,ME 11 5EL,ENGLAND|04-3488 (PK SZ EXTN)
LEVITRA TABLETS|VARDENAFIL MONOHYDROCHLORIDE 10MG|BAYER AG D-51368,LEVERKUSSEN,GERMANY|04-6096
LEVITRA TABLETS|VARDENAFIL MONOHYDROCHLORIDE 20MG|BAYER AG D 51368,LEVERKUSSEN,GERMANY|04-6085
NKOYO ACETAMINOPHEN TABLETS|ACETAMINOPHEN 500MG|MAXHEAL PHARM (INDIA) 103,TULSI NIWAS JOGESHWARI (WEST) MUMBAI,INDIA|04-4294
REICHLOX CAPSULES|AMPICILLIN 250MG CLOXACILLIN 250MG|MEDREICH STERILAB LTD VIRGONAGAR,BANGALORE 560 049,INDIA|04-2562 (PK SZ EXTN)
BAROCLOX 500 CAPSULES|AMPICILLIN 250MG,CLOXACILLIN 250MG|UNIBOS LAB LTD VILL VEOOR PALGHAR THANE INDIA|04-6069
DIOSCOVITE LIQUID|POTASSIUM THIOCYANATE 250MG/ML, POTASSIUM IODIDE  100MCG/ML|INTERNATIONAL HEALTH PRODUCT CORP 6390 SUITE E TULSA OKLHOMA 74135 USA|04-2878L
SANARTEME TABLETS|ARTEMETHER 50MG|ZHONGNUO PHARM (SHIJIA ZHUANY) CO LTD 6, HUAXING RD,ZHHONGHUA SOUTH STREET,CHINA|04-6072
ACTIFED SYRUP (OTC)|TRIPOLIDINE HCL 1.25MG PSEUDOEPHEDRINE 30MG|GLAXO WELLCOME EGYPT S.A.E EL SALAM STREET,11491 CAIRO S.A.E|04-1985
ACTIFED TABLETS (OTC)|TRIPOLIDINE HCL 2.5MG PSEUDOEPHEDRINE 60MG|GLAXO WELLCOME EGYPT S.A.E EL SALAM STREET,11491 CAIRO S.A.E|04-1984
JAWARON CAPSULES (RENEWAL)|MULTIVITAMINS/MINERALS|ASOJ SOFT CAPS PVT. LTD. ASOJ, DIST. BARODA - 391 510 INDIA. (FORMERLY SWISS PHARMA PVT LTD)|04-1242
MILOREX TABLETS (POM)|AMILORIDE HYDROCHLORIDE 5MG|REMIDICA LTD LIMASSOL IND ESTATE AHARNON STREET CYPRUS|04-6089
MIFORMIN TABLETS (POM)|METFORMIN 500MG|GREATER PHARMA LTD PART 46,/1-2 SOL CHARDASANIT WONGE 40 THAILAND|04-6070
GARDAPETI TABLETS   (POM)|CYPROHEPTADINE HYDROCHLORIDE 4MG|VAPI CARE PHARMA PVT LTD., PLOT 225/3, GIDC VAPI-396195
INDIA(FORMERLY 
SAGA LAB LTD PLOT NO 1409,PHASE NO 1409,GIDC VATVA AHMEDABAD.382445,INDIA APP ON 10/8/04)|04-6092
ACTRAPID HM INSULIN HUMAN,BIOSYNTHETIC SOLUTION INJECTABLE S.C 40IU/ML|HUMAN INSULIN (RDNA) 40IU,ZNCL 9UG,GLYCEROL 16MG,METACRESOL 3MG,NAOH APP. 1.1MG,HCL APP. 0.7MG ETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-6133
INSULATARD 100IU/ML|HUMAN INSULIN(RDNA) ISOPHANE INSULIN CRYSTALS 100IU,PROTAMINE SULPHATE APP. 0.35MG,ZNCL 33UG,GLYCEROL 16MG,METACRESOL 1.5MG,PHENOL 0.65MG ETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-4272
INSULATARD HM INSULIN HUMAN,BIOSYNTHETIC SUSPENSION IJECTABLE S.C 40IU/ML|HUMAN INSULIN(RDNA) ISOPHANE INSULIN CRYSTALS 40IU,ZNCL 13UG PROTAMINE SULPHATE APPROX. 0.14MG,GLYCEROL 16MG,METACRESOL 1.5MG,PHENOL 0.65MG,HCL APP. 1.8MG ETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-6132
INSULATARD HM INSULIN HUMAN,BIOSYNTHETIC SUSPENSION. INJECTABLE S.C 100IU/ML|HUMAN INSULIN(RDNA)ISOPHANE INSULIN CRYSTALS 100IU,PROTAMINE SULPHATE APP. 0.35MG,ZNCL 33UG,GLYCEROL 16MG,METACRESOL 1.5MG,PHENOL 0.65MGETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-1598
MIXTARD 30 HM INJECTION  (CHANGE OF PKG)|HUMAN INSULIN (RDNA) FM SOLUBLE FRACTION 30IU,HUMAN INSULIN (RDNA) ISOPHANE INSULIN CYSTALS 70IU,PROTAMINE SULPHATE APP. 0.25MG,ZNCL20UG,GLYCEROL 16G,METACRESOL 1.5MG,PHENOL 0.65G ETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-4271
MIXTARD 30 HM INSULIN HUMAN,BIOSYNTETHIC SUSPENSION INJECTABLE S.C 100IU/ML|HUMAN INSULI(RDNA) FM SOLUBLE FRACTION 30IU,HUMAN INSULIN(RDNA) ISOPHANE INSULIN CRYSTALS 70IU,PROTAMINE SULPHATE APP. 0.25MG,ZNCL 20UG,GLYCEROL 16UG,METACRESOL 1.5MG,PHENOL 0.65G ETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-1601
MIXTARD 30 HM INSULIN HUMAN,BIOSYNTHETIC SUSPENSION . INJECTABLE S.C 40IU/ML|HUMAN INSULIN(RDNA) FM SOLUBLE FRACTION 12IU,HUMAN INSULIN(RDNA) ISOPHANE INSULIN CYSTALS 28IU,ZNCL 12UG,GLYCEROL 16G,METACRESOL 1.5MG,PHENOL 0.65G ETC|NOVO NORDISK A/S 2880,BAGSVAERD DENMARK|04-6134
YTACAN CREAM (POM)|CLOTRIMAZOLE 1% W/W|SAME AS APPLICANT (FORMERLY NEM LAB PVT LTD FAC 133,VASAI RD. (E) -401210 LOWER PAREL,BOMBAY-40013,INDIA)|04-1533
CONCIMECTIN ORAL B.P 1%|IVERMECTIN 10MG/ML|CONCEPTS PHARMACEUTICALS LTD FACTORY A-28/3 MIDC CHIKALTHANA AURANGABAD 43120 REGD OFFICE 167 C.SF RD,SONTACRUZ(EAST) MUMBAI 400098 INDIA|04-6114
CYPER-DI FORCE|CYPERMETRIN 30G/L + DIMETHOATE  250G/L|SINO AGRO CHEMICALS IND LTD GUANDONG,CHINA|04-6123
CYRUX|CYPERMETRIN 100G/L|UNITED PHOSPHORUS LTD UNIPHOS HOUSE,11TH RD KHAR MUMBAI 400052 INDIA|04-6128
GANEDEXIL ENROFLOXACINA ORAL SOLUTION  100ML|ENROFLOXACIN 100MG/ML|INDUSTRIAL VETERINARIA INVESA, S.A C/ESMERALDA,19 08950 ESPLUGUES DE LIOBREGAT BERCELONIA SPAIN|04-6116
GLYCEL 41% SL|GLYPHOSATE 41%|EXCEL INDUSTRIES LTD 184/87 S.V RD JAGESHWARI (WEST) MUMBAI 400 102 INDIA|04-6127
IMMUNOSOL INJECTION|LEVAMISOLE HCL 100MG|VETINDIA PHARMACEUTICALS LTD PLOT NO B 23/A ELECTRONIC COMPLEX KUSHAIGUDA,HYDERBAD 500 062 A.P INDIA|04-6117
KNOCK OUT MOSQUITO COIL|D-TRANS ALLETHRIN 0.1%|SAME AS ABOVE|04-6131
LARAFORCE|LAMBDA-CYHALOTHRIN 2.5%|SINO AGRO CHEMICALS IND LTD GUANDONG CHINA|04-6122
ROUNDUP|GYLPHOSATE 41%|MOSANTO EUROPE N.V HAVEN 627,SCHELDALAAN 460 B 2040 ANTWERPEN 4,BELGIUM|04-6126
SAMBEZOLE 10% SUSPENSION|ALBEDANZOLE 100MG/ML|SAME AS APPLICANT|04-6121
SWEEP 41 SL|GLYPHOSATE 400G/LITRE|UNITED PHOSPHORUS LTD UNIPHOS HOUSE,11TH RD KHAR MUMBAI 400052 INDIA|04-6130
TUBEZOLE BOLUS|ALBENDAZOLE 250MG|SAME AS APPLICANT|04-1610
VITAMIX POWDER|MULTIVITAMINS.ELECTROLYTES AND AMINO ACIDS|VETINDIA PHARMACEUTICALS LTD PLOT NO B 23/A ELECTRONIC COMPLEX KUSHAIGUDA,HYDERBAD 500 062 A.P INDIA|04-6118
WORM ALBA BOLUS U.S P.|ALBEDANZOLE 250MG|ALVED PHARCEUTICALS AND FOODS PVT LTD 549,14TH ST. IV SECTOR K.K NAGAR,CHENNAI,78,INDIA|04-1211
WORMSOL FORTE BOLUS  (RENEWAL)|LEVAMISOLE HCL 1200MG|ALVED PHARMA & FOODS PVT LTD 549,14TH STREET IV  SECTOR IV SECTOR K.K NAGAR CHENNAI,78,INDIA|04-6125
WORMSOL STANDARD BOLUS|LEVAMISOLE HCL 300MG|ALVED PHARMA & FOODS PVT LTD549,14TH STREET IV SECTOR K.K NAGAR CHENNAI,78,INDIA|04-0873
ZODEX DISPERSIBLE POWDER 100MG|MEBENDAZOLE 500MG|CONCEPTS PHARMACEUTICALS LTD FACTORY A-28/3 MIDC CHIKALTHANA AURANGABAD 43120 REGD OFFICE 167 C.SF RD,SONTACRUZ(EAST) MUMBAI 400098 INDIA|04-6115
A-ZOLE 2500|ALBENDAZOLE 2500MG|VETINDIA PHARMACEUTICALS LTD PLOT NO B 23/A ELECTRONIC COMPLEX KUSHAIGUDA,HYDERBAD 500 062 A.P INDIA|04-6119
CONCICARE 5%W/V INJECTION|OXYTETRACYCLINE HCL 50MG/ML|CONCEPTS PHARMACEUTICALS LTD FACTORY A-28/3 MIDC CHIKALTHANA AURANGABAD 43120 REGD OFFICE 167 C.SF RD,SONTACRUZ(EAST) MUMBAI 400098 INDIA|04-6113
SULFAVET INJECTION (RENEWAL)|SULFADIMIDINE SODIUM 333MG/ML|KEPRO B.V COMPAGNIEWEG 3-3771 NH BERNEVELD HOLLAND|04-1494
TAKTIC|AMITRAZ 125G/LITRE|INTERVET INTERNATIONAL B.V BOXMEER THE NETHERLANDS|04-6112
NEOX POWDER|OXYTETRACYCLINE HCL 20G/100G|VETINDIA PHARMACEUTICALS LTD PLOT NO B 23/A ELECTRONIC COMPLEX KUSHAIGUDA,HYDERBAD 500 062 A.P INDIA|04-6120
BETRAVITE SYRUP|VIT A 1000IU, VIT B1 1500MCG, VIT B2  1500MCG, VIT B12 2500MG, VIT C 40,000MCG,VIT D 20IU, NICOTINAMIDE 10,000MCG|SAME AS APPLICANT|04-6109
DR MEYER'S BIOTRIM TABLETS|SULPHAMETHOXAZOLE 400MG TRIMETHOPRIM 80MG|SAME AS APPLICANT|04-6099
DR MEYER'S METOMIN TABLETS|METFORMIN 500MG|SAME AS APPLICANT|04-6097
DR MEYER'S NOVAMIN CAPLETS (RENEWAL)|METAMIZOL 500MG|SAME AS APPLICANT|04-0067
DR MEYER'S PIRITAB TABLETS|CHLOPHENIRAMINE MALEATE  4MG|SAME AS APPLICANT|04-6098
DR VAMI'S GRIPE WATER|SODIUM BICARBONATE 50MG,DILL OIL 0.005ML,FENNEL OIL 0.0007ML/5ML|SAME AS APPLICANT|04-6104
FAITH VITAMIN C CHEWABLE TABLETS|ASCORBIC ACID 100MG|CHEMO-PHARMA LAB LTD 10,OLANREWAJU ST.OREGUN,IKEJA LAGOS|04-5443
FAITH VITAMIN C WHITE TABLETS|ASCORBIC ACID 100MG|CHEMO-PHARMA LAB LTD 10,OLANREWAJU ST.OREGUN,IKEJA LAGOS|04-5444
FUNTIGAL OINTMENT|MESULPHEN B.P.C 64%,SULPHUR 20%|SAME AS APPLICANT|04-6059
JUVALGIN TABLETS|METAMIZOL SODIUM 500MG|SAME AS APPLICANT|04-6106
MACOTRIM PAED. SUSPENSION|TRIMETHOPRIM 40MG, SULPHAMETHOXAZOLE 200MG|MAY AND BAKER NIG PLC 3/5 SAPARA ST IND EST IKEJA,LAGOS|04-6107
MATTHEW WORM ELIXIR|PIPERAZINE CITRATE 937.5MG/5ML|SAME AS APPLICANT|04-1638
METROSAM TABLETS|METRONIDAZOLE 200MG|SAME AS APPLICANT|04-0275
MOKO METHYL SPIRIT|ISOPROPYL ALCOHOL 95%V/V|SAME AS APPLICANT|04-3291
MOKO MIST ALBA|MAGNESIUM SULPHATE 4G/10ML|SAME AS APPLICANT|04-3591
MOKO PARACETAMOL ELIXIR|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-1827
NB GRIPE WATER|CONC DILL WATER 0.18ML,SODIUM BICARBONATE 50MG/5ML|SAME AS APPLICANT|04-6110
NISE SYRUP|CHLORPHENIRAMINE MALEATE  2MG/5ML|SAME AS APPLICANT|04-2944
PALUQUINE SYRUP|CHLOROQUINE PHOSPHATE 80MG/5ML|SAME AS APPLICANT|04-4255
POWERMAG ANTACID SUSPENSION|MAGNESIUM TRISILICATE 250MG,MAGNESIUM CARBONATE 250MG,SODIUM BICARBONATE 250MG/5ML|SAME AS APPLICANT|04-6102
REVITONE BLOOD TONIC|FERROUS GLUCONATE 100MG,VIT B1 0.2MG,VIT B2 0.16MG,VIT B12 0.25MG/5ML|SAME AS APPLICANT|04-1162
SULPHUR OINTMENT|SULPHUR 10%W/W|SAME AS APPLICANT|04-1670
FRECOL FLU CAPLETS|PARACETAMOL 500MG, CEFFEINE 30MG, CHLOPHENIRAMINE MALEATE 2MG,PHENYEPHRINE 2.5MG|SAME AS APPLICANT|04-6101
CO-TROX TABLETS (POM) ( FORMERLY CO-TRIMOXAZOLE TABLETS)|SULPHAMETHOXAZOLE 400MG TRIMETHOPRIM 80MG|SAME AS APPLICANT|04-0061
GAWO VITAMIN C CHEWABLE TABLETS|ASCOERBIC ACID 100MG|SAME AS APPLICANT|04-6108
METROZOL METRONIDAZOLE TABLETS (POM)|METRONIDAZOLE 200MG|SAME AS APPLICANT|04-0072
B & C CAPSULES|CASSIA TORA,SECURIDACA LONGEPENDIUM CULATA,ELAEIS GUINENSIS|SAME AS APPLICANT|04-6138L
COLODIAL SILVER|SILVER|NATURE'S SUNHINE PRODUCTS INC SPANISH FORK,UTAH 84660 USA|04-6146L
DIAPRONIL POWDER|SECURIDACA LONGEPENDUM CULATA|SAME AS APPLICANT|04-6144L
JAUNDITONE CAPSULES|ALSTONIA CONGENSIS,ERYTHROPHLACUM GUINENSE,ASIMINA TRIOLOBA,LAWSONIA INERMISI,E. CHLOANTHI,B.FERRUGHERE,M. CHARANTH,A. INDICA,A.MELEGUTA,S.STIPITALA|SAME AS APPLICANT|04-6135L
LACINE CAPSULES|DOLDENSEAL,ALLIUM SATIVUM,ZINGIBER OFFICINALIS,RADIX GINSENG|SAME AS APPLICANT|04-6137L
LIBIGAL CAPSULES|SCHIZANDRA BENNY,YOHIMBE,GINKO BILOBA,GATU KOLA,S.PALMETTO, D.PANAX GINSENG,L.EPIMEDU|SAME AS APPLICANT|04-6136L
NAHEPS CHOICE  (MALARIA)|ROOT OF NAUCLEA LATIFOLIA,CAYENN PEPPER CITRUS ACIDA,P. GUAJAYA,S.CAUDATUM,C.CITRATUS,Z.OFFICINALE,A.BOONEI,M.LUCIDA,A.INDICA,M.INDICA,C.OLITORIOUS,A. NOBILLIS, CRAYFISH|SAME AS APPLICANT|04-6143L
VITA SHAKE POWDER|COIX FRUIT,FRUCTOSE,SOY PROTEIN,STAWBERRY POWDER,SOY FIBER,NATURAL FLAVOUR,CHINESE YAM,FOX NUT,RUCTOOLOGOSACHARIDE,LOTUS SEED|SAME AS APPLICANT|04-6147L
JOINT ACE GEL|GLUCOSAMINE,LEMON GRASS,GINGER OIL,CLOVE OIL,NIGIRI TAILA,PUDINA TAILA,CAMPHOR,CAPSICUM|MEYER HEALTHCARE PVT LTD 10D 2ND PHASE PEENYA IND AREA BANGALORE INDIA|04-6145L
MOKO MIST KAOLIN|KAOLIN 2G,LIGHT MAGNESIUM CARBONATE 0.5G,SODIUM BICARBONATE 0.5G/10ML|SAME AS APPLICANT|04-3290
DR MEYER'S BIOTRIM SUSPENSION|SULPHAMETHOXAZOLE 200MG,TRIMETHOPRIM 40MG/5ML|SAME AS APPLICANT|04-1779
CAPITAL 02 LIVING BITTERS|BITTER ALOES,OLDENSEAL,ECHINACEA,LIGUIFIED PURE HONEY|CAPITAL 02 NATURAL HEALTH PRODUCTS BEHIND SSNIT FLATS DANSOMAN ACCRA-NORTH GHANA|04-6087L
BABYDOL TABLETS|PARACETAMOL 125MG|HEMKISH CHEMICALS PVT LTD A-731,M.I.D.C KHAIRANE,NAVI,MUMBAI 400709 INDIA|04-6195
BLUE SEA CAPSULES|COD LIVER OIL 300MG|GELNOVA LABS PVT LTD C-125 TTTC INDL AREA,MAHAPE,NAVI MUMBAI,INDIA|04-6162
BRAVOMOX CAPSULES|AMOXICILLIN 250MG|FYTOKEM PHARMACEUTICAL LTD D NO 1-174/B ENIKEPADU VIJAY AWADA 521108 ANDHRA PRADESH INDIA|04-6197
CSC AMPICILLIN|AMPICILLIN 250MG|SHREECHEM PHARMS PVT LTD PLOT R-914/915,TTC INDL AREA,RABALE,NAVI MUMBAI,INDIA|04-6191
CSC AMPICILLIN & CLOXACILLIN CAPSULES|AMPICILLIN 250MG  CLOXACILLIN 250MG|SHREECHEM PHARMS PVT LTD PLOT R-914/915,TTC INDL AREA,RABALE,NAVI MUMBAI,INDIA|04-6189
CSC IBUPROFEN TABLETS|IBUPROFEN 200MG|SHREECHEM PHARMS PVT LTD PLOT R 914/915,TTC INDL AREA,RABALE,NAVI MUMBAI,INDIA|04-6168
CUSGEIN INJECTION|ANALGIN 0.5G/ML|GREENFIELD PHARM TAIZHOU CO LTD NO 38 TAI JIU TAIZHOU JIANGSU PROVINCE,CHINA|04-6183
DARAPHEN 200 TABLETS|IBUPROFEN 200MG|INTERMED 4,G.K INDUSTRIAL ESTATE,ARCOT RD. PORUR CHENNAI|04-6180
ELCEE'S CHLOROQUINE INJECTION|CHLOROQUINE PHOSPHATE 64.5MG|SHREECHEM PHARM PVT LTD R-915 TTC INDUSTRIAL AREA,RABALE,NAVI MUMBAI 400701 INIDIA|04-6185
